price,address,is_active,url,bedrooms,bathrooms,area_sqft
325000.0,"111 S Morgan St APT 806, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/111-S-Morgan-St-APT-806-Chicago-IL-60607/65551890_zpid/,3.0,1.0,2016.0
1149999.0,"1229 W Madison St UNIT Q, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1229-W-Madison-St-UNIT-Q-Chicago-IL-60607/58368973_zpid/,4.0,4.0,2800.0
2499900.0,"305 S Racine Ave PENTHOUSE D, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/305-S-Racine-Ave-PENTHOUSE-D-Chicago-IL-60607/2078608547_zpid/,4.0,4.0,3157.0
2400000.0,"118 N Willard Ct PENTHOUSE 2, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/118-N-Willard-Ct-PENTHOUSE-2-Chicago-IL-60607/2053890059_zpid/,3.0,1.0,2016.0
610000.0,"1022 S Racine Ave APT 301, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1022-S-Racine-Ave-APT-301-Chicago-IL-60607/87716964_zpid/,3.0,2.0,2300.0
870000.0,"1000 W Washington Blvd UNIT 438, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-UNIT-438-Chicago-IL-60607/54537659_zpid/,2.0,3.0,2400.0
1150000.0,"1100 W Adams St UNIT 4S, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1100-W-Adams-St-UNIT-4S-Chicago-IL-60607/159464661_zpid/,3.0,3.0,1985.0
620000.0,"125 S Green St APT 403A, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/125-S-Green-St-APT-403A-Chicago-IL-60607/101255068_zpid/,2.0,2.0,1300.0
1099000.0,"111 S Morgan St APT 906, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/111-S-Morgan-St-APT-906-Chicago-IL-60607/65571504_zpid/,3.0,3.0,2750.0
1875000.0,"116 N Aberdeen St, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/116-N-Aberdeen-St-Chicago-IL-60607/2099630432_zpid/,3.0,1.0,2016.0
430000.0,"701 S Wells St APT 3201, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/701-S-Wells-St-APT-3201-Chicago-IL-60607/65545360_zpid/,2.0,2.0,1300.0
1147999.0,"1132 W Adams St UNIT 5W, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1132-W-Adams-St-UNIT-5W-Chicago-IL-60607/159468809_zpid/,3.0,3.0,2100.0
2500000.0,"118 N Willard Ct #301, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/118-N-Willard-Ct-301-Chicago-IL-60607/2053866113_zpid/,3.0,1.0,2016.0
430000.0,"701 S Wells St APT 1608, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/701-S-Wells-St-APT-1608-Chicago-IL-60607/65545353_zpid/,2.0,2.0,1200.0
464900.0,"701 S Wells St APT 3306, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/701-S-Wells-St-APT-3306-Chicago-IL-60607/63702904_zpid/,2.0,3.0,1324.0
1090000.0,"933 W Van Buren St APT 912, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/933-W-Van-Buren-St-APT-912-Chicago-IL-60607/65571826_zpid/,3.0,3.0,2000.0
989000.0,"15 S Racine Ave APT 4S, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/15-S-Racine-Ave-APT-4S-Chicago-IL-60607/113964166_zpid/,3.0,1.0,2016.0
599000.0,"1039 S Lytle St APT 302, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1039-S-Lytle-St-APT-302-Chicago-IL-60607/87718234_zpid/,3.0,1.0,2016.0
749000.0,"234 W Polk St #2610, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/234-W-Polk-St-2610-Chicago-IL-60607/2053652730_zpid/,3.0,1.0,2016.0
495000.0,"234 W Polk St #2407, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/234-W-Polk-St-2407-Chicago-IL-60607/342776336_zpid/,3.0,1.0,2016.0
499000.0,"1834 S Racine Ave, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1834-S-Racine-Ave-Chicago-IL-60608/2076634375_zpid/,3.0,1.0,2016.0
650000.0,"1638 W 18th St, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1638-W-18th-St-Chicago-IL-60608/119094535_zpid/,3.0,1.0,2016.0
215000.0,"2022 W 23rd St, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/2022-W-23rd-St-Chicago-IL-60608/2144007963_zpid/,3.0,1.0,2016.0
814000.0,"2313 S Seeley Ave, Chicago, IL 60608",New,https://www.zillow.com/homedetails/2313-S-Seeley-Ave-Chicago-IL-60608/158882723_zpid/,3.0,1.0,2016.0
359999.0,"1001 W 15th St #347, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1001-W-15th-St-347-Chicago-IL-60608/87697598_zpid/,3.0,2.0,1232.0
359999.0,"1070 W 15th St #232, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1070-W-15th-St-232-Chicago-IL-60608/80829845_zpid/,2.0,2.0,1144.0
475000.0,"1437 W 16th St, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1437-W-16th-St-Chicago-IL-60608/2066595525_zpid/,3.0,1.0,2016.0
475000.0,"838 W 34th St, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/838-W-34th-St-Chicago-IL-60608/2096183554_zpid/,3.0,1.0,2016.0
259999.0,"1033 W 14th Pl UNIT 136, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1033-W-14th-Pl-UNIT-136-Chicago-IL-60608/87714391_zpid/,3.0,1.0,2016.0
425000.0,"2322 S Hoyne Ave, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/2322-S-Hoyne-Ave-Chicago-IL-60608/3878982_zpid/,3.0,1.0,2016.0
799000.0,"3402 S Carpenter St, Chicago, IL 60608",Coming soon,https://www.zillow.com/homedetails/3402-S-Carpenter-St-Chicago-IL-60608/3880996_zpid/,4.0,4.0,3000.0
650000.0,"954 W 18th Pl, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/954-W-18th-Pl-Chicago-IL-60608/3875509_zpid/,4.0,2.0,2000.0
415000.0,"1336 W Cullerton St, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/1336-W-Cullerton-St-Chicago-IL-60608/2070773400_zpid/,3.0,1.0,2016.0
974900.0,"1823 S Laflin St, Chicago, IL 60608",Price Change,https://www.zillow.com/homedetails/1823-S-Laflin-St-Chicago-IL-60608/119094489_zpid/,4.0,4.0,2875.0
250000.0,"1033 W 14th Pl UNIT 216, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1033-W-14th-Pl-UNIT-216-Chicago-IL-60608/80840505_zpid/,3.0,1.0,2016.0
224900.0,"1649 W 21st St #1B, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1649-W-21st-St-1B-Chicago-IL-60608/58369284_zpid/,3.0,1.0,2016.0
369900.0,"1713 W 18th Pl, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/1713-W-18th-Pl-Chicago-IL-60608/3875225_zpid/,3.0,1.0,2016.0
345000.0,"3325 S Lituanica Ave, Chicago, IL 60608",Price Change,https://www.zillow.com/homedetails/3325-S-Lituanica-Ave-Chicago-IL-60608/3881047_zpid/,4.0,2.0,2100.0
215000.0,"1550 S Blue Island Ave UNIT 908, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/1550-S-Blue-Island-Ave-UNIT-908-Chicago-IL-60608/89879913_zpid/,3.0,1.0,2016.0
529000.0,"1817 S Ashland Ave, Chicago, IL 60608",activated,https://www.zillow.com/homedetails/1817-S-Ashland-Ave-Chicago-IL-60608/2089925453_zpid/,3.0,1.0,2016.0
399000.0,"1110 W 15th St UNIT 409, Chicago, IL 60608",New,https://www.zillow.com/homedetails/1110-W-15th-St-UNIT-409-Chicago-IL-60608/101212614_zpid/,2.0,2.0,1217.0
615000.0,"3342 S Aberdeen St, Chicago, IL 60608",New,https://www.zillow.com/homedetails/3342-S-Aberdeen-St-Chicago-IL-60608/2090500891_zpid/,3.0,1.0,2016.0
699000.0,"1209 W 33rd St, Chicago, IL 60608",Active,https://www.zillow.com/homedetails/1209-W-33rd-St-Chicago-IL-60608/70476412_zpid/,3.0,3.0,2048.0
730000.0,"844 W 15th Pl, Chicago, IL 60608",New,https://www.zillow.com/homedetails/844-W-15th-Pl-Chicago-IL-60608/65547946_zpid/,3.0,3.0,2683.0
