price,address,features,is_active,url
227500,"899 S Plymouth Ct APT 1005, Chicago, IL 60605","1 bd, 1 ba, 825 sqft",Active,https://www.zillow.com/homedetails/899-S-Plymouth-Ct-APT-1005-Chicago-IL-60605/3872154_zpid/
789900,"1201 S Prairie Ave #3105, Chicago, IL 60605","2 bds, 2 ba, 1,639 sqft",Active,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-3105-Chicago-IL-60605/2131784455_zpid/
1450000,"1211 S Prairie Ave APT 601, Chicago, IL 60605","3 bds, 3 ba, 2,910 sqft",Active,https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-601-Chicago-IL-60605/101234687_zpid/
189900,"212 W Washington St APT 2013, Chicago, IL 60606","1 bd, 1 ba, 616 sqft",Active,https://www.zillow.com/homedetails/212-W-Washington-St-APT-2013-Chicago-IL-60606/159467454_zpid/
365000,"208 W Washington St APT 1510, Chicago, IL 60606","2 bds, 2 ba, 1,300 sqft",Active,https://www.zillow.com/homedetails/208-W-Washington-St-APT-1510-Chicago-IL-60606/63701286_zpid/
295500,"165 N Canal St APT 719, Chicago, IL 60606","1 bd, 1 ba, 1,250 sqft",Active,https://www.zillow.com/homedetails/165-N-Canal-St-APT-719-Chicago-IL-60606/58367246_zpid/
389000,"130 S Canal St APT 705, Chicago, IL 60606","2 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/130-S-Canal-St-APT-705-Chicago-IL-60606/58368831_zpid/
312900,"208 W Washington St APT 806, Chicago, IL 60606","2 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/208-W-Washington-St-APT-806-Chicago-IL-60606/62012805_zpid/
1250000,"333 N Canal St APT 2906, Chicago, IL 60606","3 bds, 3 ba, 2,599 sqft",Active,https://www.zillow.com/homedetails/333-N-Canal-St-APT-2906-Chicago-IL-60606/70449411_zpid/
320000,"212 W Washington St APT 708, Chicago, IL 60606","2 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/212-W-Washington-St-APT-708-Chicago-IL-60606/159466850_zpid/
400000,"333 N Canal St APT 1307, Chicago, IL 60606","1 bd, 2 ba, 1,100 sqft",Active,https://www.zillow.com/homedetails/333-N-Canal-St-APT-1307-Chicago-IL-60606/70468356_zpid/
1499000,"333 N Canal St APT 2205, Chicago, IL 60606","3 bds, 3 ba, 3,700 sqft",Active,https://www.zillow.com/homedetails/333-N-Canal-St-APT-2205-Chicago-IL-60606/70449419_zpid/
